0.9542,0.9920,0.6890,0.9744,2.9296,0.6661,1.1046,0.9890,2.6090,1.5611
0.9588,0.9880,0.6892,0.9720,2.9368,0.6651,1.1166,0.9880,2.6200,NaN
0.9493,0.9800,0.6877,0.9681,2.9363,0.6665,1.1106,0.9880,2.6210,1.5519
0.9645,0.9720,0.6965,0.9790,2.9643,0.6704,1.1294,0.9880,2.6230,1.5538
0.9661,0.9620,0.7018,NaN,2.9757,0.6720,1.1410,0.9870,2.6440,1.5689
0.9635,0.9180,0.7184,1.0478,2.8831,0.6568,1.1008,0.9690,2.4570,1.3517
0.8928,0.9010,0.6797,0.9775,2.7250,0.6133,1.0477,0.9640,2.3960,1.3962
0.8942,0.8960,0.6834,0.9940,2.7388,0.6161,1.0549,0.9660,2.4120,1.4140
0.9007,0.9010,0.6902,NaN,2.7649,0.6213,1.0660,0.9660,2.4370,1.4468
0.8852,0.9020,0.6759,NaN,2.7117,0.6061,1.0477,0.9660,2.3930,1.4258
NaN,0.9070,0.6878,0.9920,2.7597,0.6176,1.0639,0.9660,2.4310,1.4534
0.8984,0.9010,0.6857,0.9862,2.7530,0.6138,1.0672,0.9660,2.4330,1.4682
0.9104,0.8920,0.6938,0.9894,2.7825,0.6232,1.0717,0.9660,2.4450,1.4642
0.9072,0.9140,0.6885,0.9802,NaN,0.6219,1.0769,0.9650,2.4820,1.4958